商品编号,名称,分类,价格,库存,描述,主图文件,详情图1,详情图2,MinIO主图URL,状态
1001,无线降噪耳机 Pro,数码,299,200,40dB深度降噪，蓝牙5.3，50小时续航，折叠便携，通勤学习必备,数码/无线降噪耳机-Pro-cover.png,数码/无线降噪耳机-Pro-detail.png,数码/无线降噪耳机-Pro-scene.png,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,active
1002,机械键盘 红轴版,数码,349,200,87键紧凑布局，PBT键帽，RGB背光，USB-C可拆卸连线,数码/机械键盘-红轴版-cover.png,数码/机械键盘-红轴版-detail.png,数码/机械键盘-红轴版-scene.png,https://images.unsplash.com/photo-1523275335684-339abb4ab7c3?w=800,active
1003,人体工学无线鼠标,数码,159,200,垂直握持设计，DPI五档调节，蓝牙+2.4G双模，充电款,数码/人体工学无线鼠标-cover.png,数码/人体工学无线鼠标-detail.png,数码/人体工学无线鼠标-scene.png,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=800,active
1004,20000mAh快充移动电源,数码,139,200,22.5W快充输出，LED电量显示，轻薄机身，飞机可携带,数码/20000mAh快充移动电源-cover.png,数码/20000mAh快充移动电源-detail.png,数码/20000mAh快充移动电源-scene.png,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=800,active
1005,1080P高清摄像头,数码,189,200,自动对焦，内置降噪麦克风，即插即用，隐私镜头盖,数码/1080P高清摄像头-cover.png,数码/1080P高清摄像头-detail.png,数码/1080P高清摄像头-scene.png,https://images.unsplash.com/photo-1494698851510-8d6c8d7b27e2?w=800,active
1006,智能运动手环,数码,249,200,心率血氧监测，50米防水，14天续航，多运动模式,数码/智能运动手环-cover.png,数码/智能运动手环-detail.png,数码/智能运动手环-scene.png,https://images.unsplash.com/photo-1541807084-5d4e2f8c9e5f?w=800,active
1007,铝合金平板支架,数码,89,200,可折叠多角度，防滑硅胶垫，兼容4-13寸设备,数码/铝合金平板支架-cover.png,数码/铝合金平板支架-detail.png,数码/铝合金平板支架-scene.png,https://images.unsplash.com/photo-1549495118-6e4c2c9e9e5b?w=800,active
1008,GaN 65W三口充电器,数码,129,200,氮化镓超小体积，2C1A三接口，支持笔记本快充,数码/GaN-65W三口充电器-cover.png,数码/GaN-65W三口充电器-detail.png,数码/GaN-65W三口充电器-scene.png,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=800,active
1009,USB-C 七合一扩展坞,数码,229,200,HDMI 4K@60Hz，USB 3.0×3，SD/TF读卡，PD 100W,数码/USB-C-七合一扩展坞-cover.png,数码/USB-C-七合一扩展坞-detail.png,数码/USB-C-七合一扩展坞-scene.png,https://images.unsplash.com/photo-1531297484001-80022131f5a1?w=800,active
1010,蓝牙便携音箱,数码,179,200,IPX7防水，20小时续航，TWS串联立体声，户外派对必备,数码/蓝牙便携音箱-cover.png,数码/蓝牙便携音箱-detail.png,数码/蓝牙便携音箱-scene.png,https://images.unsplash.com/photo-1518770660439-4636190af475?w=800,active
1011,防蓝光护目眼镜,数码,79,200,阻隔90%有害蓝光，超轻TR90镜框，适合长时间屏幕办公,数码/防蓝光护目眼镜-cover.png,数码/防蓝光护目眼镜-detail.png,数码/防蓝光护目眼镜-scene.png,https://images.unsplash.com/photo-1488590528505-98d2b5c09dc0?w=800,active
1012,无线投屏器,数码,109,200,即插即投，手机/笔记本→电视/投影仪，1080P高清,数码/无线投屏器-cover.png,数码/无线投屏器-detail.png,数码/无线投屏器-scene.png,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800,active
1013,通勤双肩背包,服饰,169,200,大容量防泼水，多隔层收纳，透气背板，适合日常出行,服饰/通勤双肩背包-cover.png,服饰/通勤双肩背包-detail.png,服饰/通勤双肩背包-scene.png,https://images.unsplash.com/photo-1551434678-e076c7b83f3b?w=800,active
1014,经典帆布鞋 低帮,服饰,149,200,复古百搭款，透气帆布面料，橡胶防滑大底，男女同款,服饰/经典帆布鞋-低帮-cover.png,服饰/经典帆布鞋-低帮-detail.png,服饰/经典帆布鞋-低帮-scene.png,https://images.unsplash.com/photo-1496902526515-1e6c1c1c1c1c?w=800,active
1015,加绒连帽卫衣,服饰,139,200,320g纯棉加绒，宽松落肩版型，秋冬保暖百搭,服饰/加绒连帽卫衣-cover.png,服饰/加绒连帽卫衣-detail.png,服饰/加绒连帽卫衣-scene.png,https://images.unsplash.com/photo-1515378960530-7c0da6231fb1?w=800,active
1016,纯棉短袖T恤 两件装,服饰,89,200,200g重磅纯棉，宽松版型，黑白两色，不起球不缩水,服饰/纯棉短袖T恤-两件装-cover.png,服饰/纯棉短袖T恤-两件装-detail.png,服饰/纯棉短袖T恤-两件装-scene.png,https://images.unsplash.com/photo-1517430816452-9f1c1c1c1c1c?w=800,active
1017,羊毛混纺围巾,服饰,89,200,含30%羊毛，柔软亲肤，190×65cm大尺寸，秋冬保暖,服饰/羊毛混纺围巾-cover.png,服饰/羊毛混纺围巾-detail.png,服饰/羊毛混纺围巾-scene.png,https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=800,active
1018,商务休闲长裤,服饰,179,200,弹力免烫面料，修身版型，适合通勤和商务场合,服饰/商务休闲长裤-cover.png,服饰/商务休闲长裤-detail.png,服饰/商务休闲长裤-scene.png,https://images.unsplash.com/photo-1581091226825-b3e3e3e3e3e3?w=800,active
1019,轻薄防晒衣 UPF50+,服饰,139,200,超轻可收纳，透气速干，连帽设计，夏季户外必备,服饰/轻薄防晒衣-UPF50+-cover.png,服饰/轻薄防晒衣-UPF50+-detail.png,服饰/轻薄防晒衣-UPF50+-scene.png,https://images.unsplash.com/photo-1587654780291-6e6e6e6e6e6e?w=800,active
1020,精梳棉袜 5双装,服饰,35,200,新疆长绒棉，透气吸汗，弹力袜口不勒脚，男女通用,服饰/精梳棉袜-5双装-cover.png,服饰/精梳棉袜-5双装-detail.png,服饰/精梳棉袜-5双装-scene.png,https://images.unsplash.com/photo-1593642532744-d377ab51f447?w=800,active
1021,头层牛皮自动扣皮带,服饰,119,200,商务休闲两用，合金扣头，可裁剪长度，礼盒装,服饰/头层牛皮自动扣皮带-cover.png,服饰/头层牛皮自动扣皮带-detail.png,服饰/头层牛皮自动扣皮带-scene.png,https://images.unsplash.com/photo-1621607512214-6e6e6e6e6e6e?w=800,active
1022,轻便跑鞋 飞织面,服饰,229,200,透气飞织鞋面，EVA缓震中底，橡胶防滑大底,服饰/轻便跑鞋-飞织面-cover.png,服饰/轻便跑鞋-飞织面-detail.png,服饰/轻便跑鞋-飞织面-scene.png,https://images.unsplash.com/photo-0063-unique-bacon-mall?w=800,active
1023,防晒冰袖 两双装,服饰,19,200,UPF50+物理防晒，冰感面料，弹力无痕，夏季户外,服饰/防晒冰袖-两双装-cover.png,服饰/防晒冰袖-两双装-detail.png,服饰/防晒冰袖-两双装-scene.png,https://images.unsplash.com/photo-0066-unique-bacon-mall?w=800,active
1024,帆布腰带 无孔款,服饰,49,200,自动扣设计，休闲百搭，适合牛仔裤和休闲裤,服饰/帆布腰带-无孔款-cover.png,服饰/帆布腰带-无孔款-detail.png,服饰/帆布腰带-无孔款-scene.png,https://images.unsplash.com/photo-0069-unique-bacon-mall?w=800,active
1025,LED护眼台灯,家居,159,200,三档色温无极调光，无频闪防蓝光，USB供电，适合阅读办公,家居/LED护眼台灯-cover.png,家居/LED护眼台灯-detail.png,家居/LED护眼台灯-scene.png,https://images.unsplash.com/photo-0072-unique-bacon-mall?w=800,active
1026,316不锈钢保温杯 500ml,家居,89,200,12小时保温保冷，食品级材质，车载杯型，多色可选,家居/316不锈钢保温杯-500ml-cover.png,家居/316不锈钢保温杯-500ml-detail.png,家居/316不锈钢保温杯-500ml-scene.png,https://images.unsplash.com/photo-0075-unique-bacon-mall?w=800,active
1027,超声波香薰加湿器 500ml,家居,99,200,静音加湿，自动断电，七彩氛围灯，可加精油,家居/超声波香薰加湿器-500ml-cover.png,家居/超声波香薰加湿器-500ml-detail.png,家居/超声波香薰加湿器-500ml-scene.png,https://images.unsplash.com/photo-0078-unique-bacon-mall?w=800,active
1028,全棉床笠三件套 1.5m,家居,199,200,100%纯棉，弹力包裹床垫，含床笠+枕套×2,家居/全棉床笠三件套-1.5m-cover.png,家居/全棉床笠三件套-1.5m-detail.png,家居/全棉床笠三件套-1.5m-scene.png,https://images.unsplash.com/photo-0081-unique-bacon-mall?w=800,active
1029,多层实木置物架,家居,279,200,北欧风格，三层开放设计，承重15kg，客厅书房通用,家居/多层实木置物架-cover.png,家居/多层实木置物架-detail.png,家居/多层实木置物架-scene.png,https://images.unsplash.com/photo-0084-unique-bacon-mall?w=800,active
